Age,Gender,Department,JobRole,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,JobInvolvement,EnvironmentSatisfaction,OverTime,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,PerformanceRating,Education,Attrition
56,Male,Research & Development,Manager,Married,6412,1,4,4,2,3,No,Travel_Frequently,21,2,6,1,3,1,No
46,Female,Research & Development,Research Director,Married,15746,7,4,3,4,4,No,Travel_Rarely,25,4,3,2,3,4,No
32,Female,Sales,Sales Representative,Single,12904,7,1,2,2,4,Yes,Travel_Rarely,28,8,4,2,3,2,Yes
60,Male,Research & Development,Manager,Married,15229,3,4,3,4,2,Yes,Non-Travel,4,2,3,1,3,5,No
25,Male,Research & Development,Research Scientist,Married,8171,7,4,1,2,4,No,Non-Travel,18,9,5,2,4,2,No
38,Female,Sales,Sales Representative,Married,8159,2,1,4,3,3,No,Travel_Rarely,6,9,5,3,3,1,No
56,Male,Human Resources,Research Director,Married,9663,4,1,3,1,3,Yes,Travel_Rarely,2,8,2,1,3,3,Yes
36,Male,Sales,Sales Executive,Single,5028,5,4,4,3,4,No,Travel_Rarely,3,0,6,2,3,5,No
40,Male,Research & Development,Human Resources,Married,16182,6,3,2,2,3,No,Travel_Rarely,14,5,1,1,3,3,No
28,Male,Sales,Manufacturing Director,Single,4691,3,1,1,1,4,No,Travel_Rarely,8,8,2,2,3,2,Yes
28,Female,Sales,Research Director,Married,5556,8,1,4,1,3,No,Travel_Rarely,16,4,2,2,3,3,No
41,Male,Research & Development,Sales Representative,Married,17570,4,4,2,1,2,No,Travel_Rarely,19,9,1,0,3,3,No
53,Male,Research & Development,Sales Representative,Divorced,18278,7,4,3,4,1,No,Travel_Frequently,18,1,2,1,3,2,No
57,Female,Sales,Research Scientist,Married,4474,2,1,1,3,2,Yes,Travel_Rarely,6,4,6,0,3,5,Yes
41,Male,Research & Development,Sales Executive,Married,8698,5,4,1,4,2,No,Travel_Rarely,14,0,0,2,3,3,No
20,Male,Research & Development,Manufacturing Director,Married,11947,7,1,3,1,1,No,Travel_Rarely,3,8,3,1,3,3,No
39,Female,Research & Development,Research Scientist,Married,2593,5,3,3,3,3,No,Travel_Rarely,16,9,6,1,3,2,Yes
19,Female,Research & Development,Research Director,Single,3916,3,3,1,3,1,No,Travel_Rarely,1,9,4,3,3,4,No
41,Male,Research & Development,Sales Representative,Married,7579,7,1,4,2,4,Yes,Travel_Rarely,12,8,1,3,3,3,No
47,Male,Research & Development,Research Director,Divorced,14098,4,1,1,4,1,No,Travel_Rarely,14,5,0,2,3,1,Yes
55,Male,Research & Development,Manager,Single,15953,4,2,3,4,2,Yes,Travel_Frequently,19,8,5,2,3,5,Yes
19,Female,Human Resources,Sales Executive,Married,12911,3,2,4,2,1,No,Travel_Rarely,22,2,4,2,4,3,Yes
38,Male,Sales,Human Resources,Married,12589,8,4,2,4,3,No,Non-Travel,19,3,4,2,3,2,No
50,Male,Sales,Manager,Married,13197,5,4,1,1,2,No,Travel_Frequently,9,5,4,3,4,1,Yes
29,Male,Research & Development,Sales Executive,Married,14799,3,1,3,1,4,No,Travel_Frequently,7,3,2,1,3,2,No
39,Female,Sales,Sales Executive,Single,2614,5,1,2,4,3,No,Travel_Rarely,14,0,2,0,3,3,Yes
42,Male,Sales,Research Director,Single,18529,3,2,1,2,2,Yes,Travel_Rarely,5,6,2,1,3,1,Yes
44,Male,Research & Development,Manager,Married,12341,4,2,1,3,4,No,Travel_Rarely,18,4,6,1,3,5,Yes
59,Male,Research & Development,Research Director,Married,4243,2,1,4,4,3,Yes,Travel_Rarely,9,7,2,3,3,5,Yes
45,Male,Research & Development,Research Director,Divorced,12257,4,3,3,3,4,No,Travel_Rarely,21,8,0,1,3,5,No
33,Female,Research & Development,Research Director,Single,12180,3,3,2,2,1,Yes,Travel_Rarely,7,4,2,1,4,4,Yes
32,Female,Sales,Sales Representative,Married,9583,7,4,1,3,1,No,Travel_Rarely,9,7,1,2,3,2,No
20,Female,Research & Development,Sales Representative,Single,13273,4,1,4,2,4,No,Travel_Rarely,4,0,4,0,3,3,No
54,Female,Research & Development,Manufacturing Director,Single,19168,5,1,2,2,1,No,Travel_Rarely,25,0,0,1,3,1,No
